bo-acc,bo-donor,q-acc,q-donor,q-hatom,dist-dh,dist-ah,HB-type
0.0667,0.9586,-0.153559,0.076482,0.075464,1.01278774433169,2.28721225458017,strong
0.0567,0.9617,-0.156426,0.0768,0.077582,1.0120049205317,2.38799511167603,strong
0.0481,0.9642,-0.158976,0.07711,0.079511,1.01133389665775,2.48866609777876,strong
0.2357,1.0985,0.276232,-0.18053,-0.015633,0.9730665562087,2.02693344302276,weak
0.2016,1.1049,0.261166,-0.177044,-0.001301,0.97336377945436,2.12663622562405,strong
0.1753,1.1108,0.250645,-0.174402,0.009104,0.9732550397368,2.22674495742354,strong
0.1505,1.1165,0.240468,-0.171104,0.018782,0.97282424340954,2.32717575562508,strong
0.1293,1.1217,0.231992,-0.168097,0.026754,0.97206523474258,2.42793476777068,strong
0.1111,1.1264,0.224917,-0.165454,0.033539,0.97125085781733,2.52874914288416,strong
0.0954,1.1306,0.218965,-0.163145,0.039396,0.97044302909457,2.62955696979673,strong
0.0877,1.1328,0.216814,-0.162339,0.041925,0.96979708056024,2.73020292185929,strong
0.0749,1.136,0.212041,-0.160405,0.046827,0.96909008594353,2.83090991461527,strong
0.3635,1.0103,-0.757904,-0.213608,-0.020476,1.0020381648593,2.00050343774563,strong
0.33,1.0199,-0.782099,-0.208276,-0.009577,0.99929730075797,2.1032816347018,strong
0.3011,1.0295,-0.803074,-0.203358,-0.000959,0.99624514402472,2.20636766151068,strong
0.2757,1.0385,-0.821513,-0.198866,0.006306,0.99323041071592,2.30941354216008,strong
0.2531,1.0469,-0.837914,-0.194827,0.012696,0.99037396760594,2.41229886105914,strong
0.2326,1.0547,-0.852628,-0.191241,0.01848,0.98773440344689,2.51496536607952,strong
0.2139,1.0617,-0.865924,-0.188084,0.023827,0.98533561687325,2.61738944062574,strong
0.1964,1.0681,-0.878041,-0.185302,0.02885,0.98316412727752,2.71958475376767,strong
0.1801,1.0739,-0.889181,-0.182846,0.033641,0.98121090926193,2.82156049381225,strong
0.1899,1.0923,-0.073809,-0.182043,0.01943,0.96816247915576,1.73183752018342,strong
0.1644,1.0976,-0.084623,-0.182162,0.026237,0.96923050792764,1.83076948930597,strong
0.1404,1.103,-0.094868,-0.180292,0.033626,0.96953562694319,1.93046436557744,strong
0.1206,1.1081,-0.103261,-0.178303,0.039339,0.96941881779271,2.03058118028584,strong
0.1038,1.1127,-0.11034,-0.176403,0.044038,0.96909957019581,2.13090043233195,strong
0.0893,1.1167,-0.116403,-0.174652,0.048046,0.96866769196095,2.23133231147118,strong
0.0768,1.1203,-0.121626,-0.173069,0.051533,0.96816506755872,2.33183492966649,strong
0.0659,1.1234,-0.126133,-0.171661,0.054609,0.96762631850768,2.43237364802598,strong
0.0563,1.1261,-0.130019,-0.170429,0.057355,0.96709140383279,2.53290853537761,strong
0.28,1.1779,0.17761,-0.15221,-0.00925,0.94162462573128,2.05837537331698,strong
0.2439,1.1851,0.158596,-0.146136,0.006179,0.94056281457684,2.15943718834758,strong
0.2126,1.1921,0.142597,-0.140588,0.019066,0.93930425268231,2.26069574845799,strong
0.1851,1.1992,0.128826,-0.135436,0.030024,0.93755731241351,2.3624426868626,strong
0.161,1.205,0.117052,-0.131139,0.039713,0.93632671803979,2.46367328470101,strong
0.1394,1.2107,0.106562,-0.127226,0.048293,0.93481026710796,2.56518973362703,strong
0.1206,1.2152,0.097628,-0.124084,0.055999,0.93384405081778,2.66615594826309,strong
0.1034,1.2197,0.089525,-0.121095,0.062847,0.9324960792008,2.76750392335344,strong
0.0886,1.2235,0.082815,-0.118488,0.068706,0.93140914049305,2.86859086021675,weak
0.1574,1.1094,-0.150166,-0.179048,0.027697,0.96834476752459,1.73165523163318,strong
0.1295,1.1157,-0.156965,-0.175472,0.037075,0.96896485279287,1.83103514228476,strong
0.1078,1.1213,-0.160978,-0.172018,0.043831,0.96920205194604,1.93079794972205,strong
0.0904,1.1263,-0.163988,-0.16889,0.048924,0.96911866986265,2.03088132976402,strong
0.0762,1.1307,-0.16624,-0.166068,0.052989,0.96881591200707,2.13118409095647,strong
0.0643,1.1344,-0.168011,-0.163598,0.056403,0.96843190531579,2.23156809607813,strong
0.0542,1.1375,-0.16942,-0.16144,0.059329,0.96798328926563,2.33201671076069,strong
0.0456,1.1401,-0.170541,-0.15958,0.061882,0.96751581049586,2.43248419316863,weak
0.0381,1.1424,-0.171427,-0.157964,0.064105,0.96706841958696,2.5329315817204,weak
0.1802,0.9542,-0.191295,-0.016068,0.037733,1.0157706737729,1.68422932534798,strong
0.1483,0.9617,-0.199098,-0.015498,0.047127,1.01591850213941,1.78408149533799,strong
0.1239,0.9685,-0.204445,-0.014303,0.053108,1.01518662169755,1.884813379083,strong
0.105,0.9743,-0.207733,-0.013258,0.057424,1.01459461381432,1.98540538524107,strong
0.0896,0.9792,-0.210311,-0.012413,0.060693,1.01392648095855,2.08607352202727,strong
0.0767,0.9833,-0.212721,-0.011449,0.063439,1.013317731867,2.1866822665575,strong
0.0654,0.9871,-0.214532,-0.010447,0.06595,1.01233008086779,2.28766991820535,strong
0.0559,0.9902,-0.216071,-0.009863,0.068057,1.01172493014379,2.38827506993825,strong
0.0476,0.9928,-0.217304,-0.009379,0.069878,1.0110196986334,2.48898029951446,strong
0.2292,0.9198,-0.084006,-0.033622,0.019446,1.01920639276516,1.68079360637605,strong
0.1914,0.9289,-0.095482,-0.032725,0.031385,1.01912101967971,1.78087897769029,strong
